1,1
2,5.033446854
3,5.327864474
4,5.637736926
5,5.96366589
6,6.306251645
7,6.666089621
8,7.043766595
9,7.439856498
10,7.85491585
11,8.289478827
12,8.744051966
13,9.21910853
14,9.715082565
15,10.23236269
16,10.77128566
17,11.33212976
18,11.91510814
19,12.52036213
20,13.14795459
21,13.79786355
22,14.46997609
23,15.16408265
24,15.87987191
25,16.61692638
26,17.37471875
27,18.1526092
28,18.94984381
29,19.76555408
30,20.59875776
31,21.44836098
32,22.31316178
33,23.19185509
34,24.08303901
35,24.98522262
36,25.89683493
37,26.81623518
38,27.74172411
39,28.67155623
40,29.60395276
41,30.53711519
42,31.46923907
43,32.39852798
44,33.32320734
45,34.24153782
46,35.15182825
47,36.05244769
48,36.94183666
49,37.81851713
50,38.6811014
51,39.52829959
52,40.35892582
53,41.1719029
54,41.96626566
55,42.74116293
56,43.49585807
57,44.22972843
58,44.94226349
59,45.63306206
60,46.30182852
61,46.94836826
62,47.57258249
63,48.17446246
64,48.75408333
65,49.31159769
66,49.84722898
67,50.36126475
68,50.85405002
69,51.32598069
70,51.77749713
71,52.20907799
72,52.62123436
73,53.01450411
74,53.38944671
75,53.74663832
76,54.08666727
77,54.41012996
78,54.71762711
79,55.00976032
80,55.2871291
81,55.55032813
82,55.79994497
83,56.03655795
84,56.26073442
85,56.4730293
86,56.6739838
87,56.86412439
88,57.04396204
89,57.21399158
90,57.37469123
91,57.52652229
92,57.66992902
93,57.80533855
94,57.93316093
95,58.05378927
96,58.16759998
97,58.27495302
98,58.37619224
99,58.47164579
100,58.56162647
101,58.64643224
